,0,1
62,"Schriftlicher Bericht des Ausschusses für Außenhandelsfragen**) (23. Ausschuß) (Drucksache 3284).
(Erste Beratung:",False
63,Dr. Czaja (CDU/CSU):,True
64,"Priska Hinz (Herborn) (BÜNDNIS 90/DIE GRÜ-
NEN):",True
65,Ich möchte hinzufügen:,False
66,Nach meiner Überzeugung müssen wir aber eines klar erkennen:,False
67,Horst Schild (SPD):,True
68,Aber lassen Sie mich eines sagen:,False
69,"(Beifall bei Abgeordneten der CDU/CSU –
Walter Schöler [SPD]:",False
70,"(Dr. Peter Struck [SPD]: O Conny, sei mal
vorsichtig! — Gegenrufe von der CDU/CSU:",False
71,Vizepräsident Westphal:,True
72,Vizepräsident Westphal:,True
73,"fordern auch außergewöhnliche politische Maßnahmen.
Bundestag, Bundesrat, Bundesregierung, die betroffenen
Gemeinden haben gezeigt:",False
74,(Dr. Peter Struck [SPD]:,False
75,"ter und der Fraktion der CDU/CSU
Initiative zur Stärkung der Ostseeregion
– Drucksachen 14/3293, 14/4573 –
Berichterstattung:",False
76,(Jürgen Koppelin [FDP]:,False
77,"Stahl, Parl. Staatssekretär beim Bundesminister für Forschung und Technologie:",True
78,Becker (Nienberge) (SPD) :,True
79,Aber eines muss ich noch loswerden:,False
80,"verfassungsrechtlich garantierte Rechte genießen. Das
tun sie auch. Für den parlamentarischen Willensbil-
dungsprozess bedeutet dies:",False
81,Es sind keine weiteren Zusatzfragen mehr da. Dann können wir so verfahren. Ich rufe die Frage 50 des Abgeordneten Picard auf:,False
82,"es darf geflogen werden“, der Deutschen Flugsicherung
aber keine Möglichkeit geben, zu sagen:",False
83,"(Anhaltende Unruhe.)
— Vielleicht darf ich um etwas Aufmerksamkeit bitten.
Punkt 5 der Tagesordnung:",False
84,"Dr.-Ing. E. h. Herz, Staatssekretär im Bundesministerium für das Post- und Fernmeldewesen:",True
85,Frau Dr. Diemer-Nicolaus (FDP) :,True
86,Wolfgang Dehnel (CDU/CSU):,True
87,"(Abg. Frau Dr. Dr. h. c. Lüders: Nein!) — Zur allgemeinen Aussprache?
(Abg. Frau Dr. Dr. h. c. Lüders:",False
88,"Dr. Klaus Kinkel, Bundesminister der Justiz:",True
89,Vizepräsidentin Renger:,True
90,Was ist in der Sommerpause nicht alles herumgereicht worden:,False
91,"(Margareta Wolf [Frankfurt] [BÜNDNIS 90/
DIE GRÜNEN]:",False
92,"sie heute wiederholt – hat den Eindruck, dass die Studie
die Antipathien gegen Kernkraft schüren soll. Herr
Nüßlein, Sie sagen:",False
93,"gut!)
nämlich oben ohne, aber auch innen ohne. Es ist bedauerlich, aber es ist so, Herr Kollege Blüm.
(Zuruf von der SPD:",False
94,Porzner (SPD) :,True
95,Dr. Volker Ullrich (CDU/CSU):,True
96,Kathrin Vogler (DIE LINKE):,True
97,Vizepräsident Dr. Jaeger:,True
98,Nelle (CDU/CSU):,True
99,Präsident D. Dr. Gerstenmaier:,True
100,"Diese Mittel stehen den Arbeitsämtern sofort zur Verfügung.
(Toetemeyer [SPD]:",False
101,(Dr. Karl A. Lamers [CDU/CSU]:,False
102,"Herr Vogel hat das eingeführt! — Rudolf
Kraus [CDU/CSU]:",False
103,Vizepräsident Dr. Norbert Lammert:,True
104,Frau Kurlbaum-Beyer (SPD) :,True
105,"Dr. Helge Braun, Parl. Staatssekretär bei der Bun-
desministerin für Bildung und Forschung:",True
106,(Volker Kauder [CDU/CSU]:,False
107,"Dr. Böhme, Parl. Staatssekretär:",True
108,"
Interfraktionell ist vereinbart worden, die verbundene
Tagesordnung um die in der Zusatzpunktliste aufge-
führten Punkte zu erweitern:",False
109,Katja Keul (BÜNDNIS 90/DIE GRÜNEN):,True
110,Günther Friedrich Nolting (F.D.P.):,True
111,Präsident Dr. Norbert Lammert:,True
112,"noch ist der Antrag der F.D.P. nur ein weiterer Baustein Ih-
rer Lobbypolitik für die Gentechnik:",False
113,"müssen Kultur und Bildung zusammen denken – eben
nicht Arabeske bzw. schönes, schmückendes Beiwerk
nach dem Motto:",False
114,"Schütz, Staatssekretär des Auswärtigen Amts:",True
115,(Christoph Matschie [SPD]:,False
116,Dr. von Merkatz (DP):,True
117,(Pfeffermann [CDU/CSU]:,False
118,"Geschäftsordnung des Deutschen Bundestages als das,
was er tatsächlich, ehrlich und aus ganzem Herzen ist:",False
119,"von Schoeler, Parl. Staatssekretär beim Bundesminister des Innern:",True
120,(Abg. Schulhoff:,False
121,"Gleiche Rechte für alle Weltbürger – darüber sollten wir
uns einmal über diese Debatte hinaus unterhalten. Oder
darüber:",False
122,"(Dr. Julia Verlinden [BÜNDNIS 90/DIE GRÜ-
NEN]:",False
123,"(Beifall bei Abgeordneten des BÜNDNIS-
SES 90/DIE GRÜNEN – Volker Kauder
[CDU/CSU]:",False
124,"Die objektbezogene Befragung trägt am ehesten dem Rechnung, was Ziel der Pressehilfe ist:",False
125,"Vogt, Parl. Staatssekretär:",True
126,"weiter zurückliegen als 2006. Man kann eine jahrelange
Vernachlässigung nicht in einem Jahr korrigieren. Ich bin
sehr dankbar:",False
127,Arndgen (CDU):,True
128,(Abg. Wehner:,False
129,Vizepräsident Frau Renger:,True
130,(Dr. Friedbert Pflüger [CDU/CSU]:,False
131,"Dr. Schreckenberger, Staatssekretär:",True
132,(Ströbele [GRÜNE]:,False
133,(Dr. Wittmann [CDU/CSU]:,False
134,Ott (CDU/CSU) :,True
135,"(Horst Jungmann [Wittmoldt] [SPD]: Machen
wir alles in den Bergwerken! — Dr. Peter
Struck [SPD]:",False
136,"
Der Tagesordnungspunkt 18 – Antrag zum Thema
„Griechenland nach der Wahl“ – wird abgesetzt. Damit
kein Missverständnis entsteht:",False
137,(Abg. Dr. Schmid [Frankfurt] :,False
138,(Volker Kauder [CDU/CSU]:,False
139,Hans Raidel (CDU/CSU):,True
140,(Immer [Altenkirchen] [SPD]:,False
141,Punkt 5:,False
142,"oberste gesundheitspolitische Ziel in den nächsten Jah-
ren finanzieren können – und zwar bei sinkenden Beiträ-
gen –:",False
143,Deshalb sage ich:,False
144,"
– Ja, das ist ein sehr gutes Ziel. – Bisher habe ich immer
gesagt:",False
145,Kuhlwein (SPD):,True
146,Vizepräsident Frau Renger:,True
147,Vizepräsident Dr. h. c. Leber:,True
148,Vizepräsident Dr. Hermann Otto Solms:,True
149,"
Kollegen! Sehr geehrte Damen und Herren! Wie auch
heute fängt jede Diskussion über das Berliner Schloss
mit der Frage an:",False
150,Vizepräsident Westphal:,True
151,"Ergebnis, meine Damen und Herren: Die Getreidepreise sanken um bis zu 15%.
(Zuruf von der SPD:",False
152,Dr. Gregor Gysi (PDS/Linke Liste):,True
153,Präsident Frau Renger:,True
154,"(Beifall und Heiterkeit bei der SPD. —
Abg. Dr. Mühlenfeld:",False
155,Gansel (SPD):,True
156,Dr. Graf (CDU/CSU):,True
157,"(Beifall.)
Es liegen keine Wortmeldungen vor. Wir kommen zur Abstimmung über den Antrag auf Umdruck 176:",False
158,Ich möchte nun zu drei Punkten etwas sagen:,False
159,(Bartholomäus Kalb [CDU/CSU]:,False
160,Vizepräsident Peter Hintze:,True
161,sant! – Zuruf von der CDU/CSU:,False
162,Vizepräsident Westphal:,True
163,"Herr Susset und andere haben uns vorgeworfen, daß wir zu der 5% Vorsteuerpauschale so nicht ja gesagt haben.
(Hornung [CDU/CSU]:",False
164,Seiters (CDU/CSU):,True
165,"
Ich möchte in diesem Zusammenhang auf einen
Punkt eingehen, der in der aktuellen Diskussion immer
wieder angeführt wird:",False
166,Gobrecht (SPD):,True
167,Vizepräsident Dr. Schmitt-Vockenhausen:,True
168,"(Beifall bei der CDU/CSU — Carstensen
[Nordstrand] [CDU/CSU]: Das kennt er als
Amtsrat nicht! — Fischer [Frankfurt]
[GRÜNE]:",False
169,(Dr. Klaus Kübler [SPD]:,False
170,"(Zuruf von der CDU/CSU: Das muß man
denen aufschreiben! — Dr. Stark [Nürtingen] [CDU/CSU]:",False
171,"Hans Martin Bury, Staatsminister beim Bundeskanz-
ler:",True
172,Ich sage Ihnen:,False
173,Präsident Frau Renger:,True
174,"— Wenn wir diese Debatte schon führen, dann wüßte ich gern, ob das in diesem Punkte geschehen ist. — In Nr. 9 heißt es:",False
175,(Dr. Hans-Jochen Vogel [SPD]:,False
176,Wolfgang Schmitt (Langenfeld) (BÜNDNIS 90/DIE GRÜNEN):,True
177,(Jörg-Otto Spiller [SPD]:,False
178,Vizepräsident Frau Renger:,True
179,"Sehr geehrter Herr Präsident! Meine Damen und Her-
ren! Gemäß der alten Weisheit:",False
180,Frau Oesterle-Schwerin (GRÜNE):,True
181,Dr. Valerie Wilms (BÜNDNIS 90/DIE GRÜNEN):,True
182,"Dr. Probst, Parl. Staatssekretär:",True
183,Berichterstattung:,False
184,(Zurufe von der SPD: Ah! — Bindig [SPD]:,False
185,"Einigung im Vermittlungsausschuss, nämlich Ihr CDU-
Bundesparteitag am 1. Dezember. Dort können Sie Ihre
Arbeitsteilung fortsetzen:",False
186,[SPD]:,False
187,Dr. Schellenberg (SPD):,True
188,Vizepräsident Dr. Schmitt-Vockenhausen:,True
189,Niegel (CDU/CSU):,True
190,"(Beifall bei der CDU/CSU)
Soll der finanzielle Rahmen der Gemeinschaft nicht gesprengt werden, müssen alle Opfer bringen:",False
191,Vizepräsidentin Dr. Antje Vollmer:,True
192,"in mehreren Debatten eigentlich schon angehört. Im Übri-
gen ist dieses Zitat nachzulesen bei:",False
193,Eichhorn [CDU/CSU]:,False
194,(Nicolette Kressl [SPD]:,False
195,Ich wiederhole:,False
196,Vizepräsident Johannes Singhammer:,True
197,"noch Gelegenheit, darauf zu erwidern – zur globalen
Minderausgabe. Dort ist es genau das Gleiche:",False
198,(Kuhlwein [SPD]:,False
199,(Thomas Rachel [CDU/CSU]:,False
200,Ich rufe den Zusatzpunkt 4 auf:,False
201,Die dritte Lehre:,False
202,(Zuruf von der SPD:,False
203,Vizepräsident Westphal:,True
204,Ich rufe den Tagesordnungspunkt 8 auf:,False
205,Vizepräsidentin Renger:,True
206,Ich rufe die von dem Abgeordneten Schmitt-Vockenhausen gestellte Frage X/3 auf:,False
207,Heyenn (SPD):,True
208,(Walter Hirche [F.D.P.]:,False
209,"einer billigen Schlagzeile willen einzuschränken. Das
war nicht in Ordnung. Ich rate Ihnen:",False
210,(Dr. Heinrich L. Kolb [F.D.P.]:,False
211,"(Beifall bei der CDU/CSU sowie der Abg.
Dr. Christel Happach-Kasan [FDP] — Kurt J.
Rossmanith [CDU/CSU]:",False
212,Vizepräsidentin Petra Bläss:,True
213,(Frau Dr. Hamm-Brücher [FDP]:,False
214,"
Vizepräsidentin Renate Schmidt
Ich rufe den Tagesordnungspunkt 7 und den Zusatzpunkt 10 auf:",False
215,Vizepräsident Wurbs:,True
216,"
Bundesminister! Werte Kolleginnen und Kollegen! Frau
Behm, ich möchte eine Vorbemerkung machen:",False
217,"(Renate Künast [BÜNDNIS 90/DIE GRÜ-
NEN]:",False
218,"
Beschlussempfehlung des Haushaltsausschusses auf
Drucksache 15/1838 zu dem Antrag der Fraktion der
CDU/CSU mit dem Titel:",False
219,(Norbert Barthle [CDU/CSU]:,False
220,(Clemens Binninger [CDU/CSU]:,False
221,(Beifall bei der SPD. — Rufe von der Mitte:,False
222,(Zuruf von der SPD:,False
223,Dr. Czaja (CDU/CSU) :,True
224,Vizepräsident Frau Funcke:,True
225,Präsident Wolfgang Thierse:,True
226,"(Erneute Heiterkeit.)
Aber, meine Damen und Herren, ich bitte Sie wirklich, zu sehen:",False
227,"Wenn man in einem Bereich eine Quote festsetzt, kommt automatisch eine gewisse Verdrängung in anderen Bereichen.
(Frau Blunck [SPD]:",False
228,"Herr Staatssekretär, in der Fragestunde vom 11. Mai 1973 hat der frühere Innenminister Genscher wörtlich erklärt:",False
229,Wir sagen:,False
230,Vizepräsident Westphal:,True
231,"des Mobilfunks der Kanzlerin, aber auch des ehemaligen
Kanzlers Schröder im Raum. Ich frage Sie:",False
232,(Beifall bei der SPD — Oostergetelo [SPD]:,False
233,"(Beifall bei der FDP sowie bei Abgeordneten
der CDU/CSU – Joachim Poß [SPD]:",False
234,(Horst Jungmann [Wittmoldt] [SPD]:,False
235,Wolfgang Börnsen (Bönstrup) (CDU/CSU):,True
236,Dr. Wörner (CDU/CSU) :,True
237,Jahn (Marburg) (SPD) :,True
238,Vizepräsident Westphal:,True
239,"
(Beifall beim BÜNDNIS 90/DIE GRÜNEN
und bei der SPD – Günther Friedrich Nolting
[F.D.P.]:",False
240,Ekin Deligöz (BÜNDNIS 90/DIE GRÜNEN):,True
241,Präsident D. Dr. Gerstenmaier:,True
242,"Herr Staatsminister, hat Herr
Bundeskanzler persönlich mit Herrn Trittin über diesen
Vorgang gesprochen? Wenn ja:",False
243,(Hornung [CDU/CSU]:,False
244,Jürgen Koppelin (F.D.P.):,True
245,"rüber beschweren, dass Herr Eichel keine verlässliche
Politik vertrete. Verlässlichkeit ist gegeben:",False
246,Herr Präsident! Meine sehr geehrten Damen und Herren! Der vorliegende Antrag der Deutschen Partei enthält zwei Forderungen:,False
247,"Dr. Stoltenberg, Bundesminister für wissenschaftliche Forschung:",True
248,Dr. Mechtersheimer (GRÜNE):,True
249,"(Beifall bei den GRÜNEN — Freiherr von
Schorlemer [CDU/CSU]:",False
250,"(Lachen und Beifall bei der SPD, dem BÜND-
NIS 90/DIE GRÜNEN und der PDS – Ludwig
Stiegler [SPD]:",False
251,Matthöfer (SPD) :,True
252,Präsident Dr. Norbert Lammert:,True
253,Präsident Dr. Jenninger:,True
254,"Wenn Sie aus Ihren Fehlern wenigstens lernen wür-
den. Aber auch für den Haushalt 2004 gilt:",False
255,Zum Schluss will ich noch einmal sagen:,False
256,Vizepräsident Dr. Schmitt-Vockenhausen:,True
257,"enttabuisierte Rüstungsexporte, wie es Frau von der
Leyen fordert? Oder geht es wirklich um Kohärenz,
sprich:",False
258,"(Zuruf des Abg. Schäfer [Offenburg]
[SPD])
Kein gutes Zeichen für eine offene, sachbezogene Diskussion!
(Fellner [CDU/CSU]:",False
259,"– Nein, dazu liegt doch von Ihnen gar kein Vorschlag
vor. Die Regel im Parlament ist:",False
260,"Dr. Gerald Thalheim, Parl. Staatssekretär bei der
Bundesministerin für Verbraucherschutz, Ernährung und
Landwirtschaft:",True
261,"(Oliver Krischer [BÜNDNIS 90/DIE GRÜ-
NEN]:",False
262,Vizepräsidentin Petra Bläss:,True
263,Ich rufe den Tagesordnungspunkt I. 4 auf:,False
264,Miriam Gruß (FDP):,True
265,(Dr. Petra Sitte [DIE LINKE]:,False
266,"Dr. Konstantin von Notz [BÜNDNIS 90/DIE
GRÜNEN]:",False
267,(Vorsitz:,False
268,Vizepräsident Dr. Jaeger:,True
269,(Voigt [Frankfurt] [SPD]:,False
270,"Ich habe zu einem anderen Komplex eine Frage, und zwar an Frau Staatsministerin Adam-Schwaetzer:",False
271,"(Beifall bei der SPD sowie bei Abgeordneten
des BÜNDNISSES 90/DIE GRÜNEN –
Ulrich Kelber [SPD]:",False
272,"(Immer [Altenkirchen] [SPD]: Genau! —
Frau Blunck [SPD]: Vielleicht frischt das
seine Erinnerung auf!)
Ich zitiere wieder:",False
273,"Hans Eichel, Bundesminister der Finanzen:",True
274,Dr. Axel Berg (SPD):,True
275,(Steffen Kampeter [CDU/CSU]:,False
276,Vizepräsident Frau Renger:,True
277,Ich sage ausdrücklich noch einmal:,False
278,Folgende Anwendungsmöglichkeiten — unter anderem — zeichnen sich bereits heute ab:,False
279,"Vogt, Parl. Staatssekretär:",True
280,"(Dr. Wolfgang Freiherr von Stetten [CDU/
CSU]:",False
281,Hierzu müssen alle ihren Beitrag leisten:,False
282,"zeichnen, ist für Soldaten wie zivile Bundeswehrbe-
schäftigte und deren Familien unbedeutend. Diese erken-
nen nur überdeutlich:",False
283,(Zuruf von der CDU/CSU: Kohlenverflüssigung! — Hornung [CDU/CSU]:,False
284,"Bundesminister Kiechle
die Beitragslasten je Betrieb um 300 DM, 600 DM oder 900 DM je Jahr zu verringern.
(von Hammerstein [CDU/CSU]:",False
285,Vizepräsident Westphal:,True
286,Vizepräsident Dr. h. c. Leber:,True
287,(Brauer [GRÜNE]:,False
288,Vizepräsidentin Renate Schmidt:,True
289,(Carl-Ludwig Thiele [FDP]:,False
290,"Richtig!)
Wenn hier von einer Aufgabe die Rede ist, dann kann es nur eine Aufgabe der ganzen freien Welt sein.
(Abg. Schüttler:",False
291,Lassen Sie mich zum Schluß sagen:,False
292,"
Dazu die KiKK-Studie wörtlich:",False
293,"(Dr. Laufs [CDU/CSU]: Sie selbst haben im
Innenausschuß gesagt, Sie wollten die Gesetze verhindern!)
Nach meinem Eindruck ist es so:",False
294,"für ein sinnvolles Instrument. Deswegen werden wir die-
sem Gesetzentwurf auch zustimmen. Ich will hier aber
betonen:",False
295,"Jürgen Trittin, Bundesminister für Umwelt, Natur-
schutz und Reaktorsicherheit:",True
296,Vizepräsident Dr. Schmid:,True
297,"(Beifall bei der SPD, der PDS/Linke Liste und
dem Bündnis 90/GRÜNE — Volker Rühe
[CDU/CSU]:",False
298,(Dr. Heinrich L. Kolb [FDP]:,False
299,(Abg. Cillien:,False
300,Vizepräsident Dr. Dehler:,True
301,(Bohl [CDU/CSU]:,False
302,"(Hört! Hört! bei der SPD — Hornung
[CDU/CSU]:",False
303,(Jörg Tauss [SPD]:,False
304,(Steffen Kampeter [CDU/CSU]:,False
305,"Seite als Eingriff in die Kompetenzen der Länder dis-
kreditiert worden. Jetzt fragen Sie:",False
306,Andres (SPD):,True
307,(Drabiniok [GRÜNE]:,False
308,"CSU)
Im Beschluß der Bundesregierung vom 31. August 1988 heißt es:",False
309,Dr. Barbara Höll (DIE LINKE):,True
310,Vizepräsidentin Katrin Göring-Eckardt:,True
311,"
Ich teile Ihnen das Ergebnis des gerade durchgeführ-
ten Wahlganges für die Wahl eines Stellvertreters des
Präsidenten mit:",False
312,"auch dringend!)
Aber diese Betriebe sind auf zusätzliche Hilfen nicht angewiesen.
(Beifall bei der SPD — Zurufe von der
CDU/CSU:",False
313,Amling (SPD):,True
314,"Dr. Böhme, Parl. Staatssekretär:",True
315,"So waren uns, meine Damen und Herren, nach dem Neubeginn am 1. Oktober finanzpolitisch drei vorrangige Aufgaben gestellt:",False
316,(Dr. Maria Böhmer [CDU/CSU]:,False
317,Wohlrabe (CDU/CSU) :,True
318,(Abg. Dr. Strosche:,False
319,Dr. Mende (FDP) :,True
320,Vizepräsidentin Gerda Hasselfeldt:,True
321,Vizepräsidentin Claudia Roth:,True
322,"Jahn, Bundesminister der Justiz:",True
323,"zu lesen. Dort wurde in einem Artikel aus der Zusammen-
fassung der Studie zitiert:",False
324,(Stahl [Kempen] [SPD]:,False
325,Einverstanden. Ich rufe dann noch die Frage IX/5 des Herrn Abgeordneten Dr. Müller (München) auf:,False
326,"(Dr. Klaus-Dieter Feige [BÜNDNIS 90/DIE
GRÜNEN]:",False
327,"matisch – und zwar auch für die Länder, in denen ange-
worben wird –, aber entscheidend ist:",False
328,(Hartmut Schauerte [CDU/CSU]:,False
329,(Zuruf von der PDS:,False
330,"(Zurufe von der CDU/CSU)
Was wir brauchen, sind funktionstüchtige Steuern, die die richtigen Themen anpacken.
(Günther [CDU/CSU]:",False
331,"(Bundeskanzler Dr. Helmut Kohl: Ach was!)
Eine weitere Frage ist natürlich:",False
332,"(Beifall bei der SPD)
Wir werden die heimlichen Steuererhöhungen zurückgeben. Aber eines erkläre ich hier mit allem Nachdruck:",False
333,Kants praktischer Imperativ von 1786 liest sich wie das ganze Programm für die Umwälzungen von heute:,False
334,Antje Hermenau (BÜNDNIS 90/DIE GRÜNEN):,True
335,"Edelgard Bulmahn, Bundesministerin für Bildung
und Forschung:",True
336,Kuhlwein (SPD):,True
337,"Baum, Parl. Staatssekretär beim Bundesminister des Innern:",True
338,"Bundesminister Hans Eichel
Deswegen, meine Damen und Herren, halte ich fest:",False
339,Hofmann (SPD) :,True
340,"Kiechle, Bundesminister für Ernährung, Landwirtschaft und Forsten:",True
341,Freiherr von Schorlemer (CDU/CSU):,True
342,"Frau Präsidentin! Liebe Kolleginnen! Liebe Kolle-
gen! Um es vorweg zu sagen:",False
343,"Was nun Ihre Frage angeht, warum die Bundesregierung dazu bis heute geschwiegen habe, so lautet die Antwort:",False
344,"
Jetzt komme ich auf einen weiteren Baustein unseres
Konzepts zu sprechen:",False
345,"Grund, Staatssekretär des Bundesministeriums der Finanzen:",True
346,(Dr. Wolfgang Gerhardt [FDP]:,False
347,Dr. Christian Ruck (CDU/CSU):,True
348,Ich sage:,False
349,(Lutz [SPD]: Das wäre entbehrlich! — Carstensen [Nordstrand] [CDU/CSU]:,False
350,Kurlbaum (SPD) :,True
351,Vogelsang (SPD):,True
352,Vizepräsident Dr. Schmitt-Vockenhausen:,True
353,Vizepräsident Westphal:,True
354,Matthias Ilgen (SPD):,True
355,"—	Aber ich bin ja im Begriff, es zu tun. Warten Sie ab, Herr Professor Schmid!
(Abg. Dr. Schmid [Frankfurt] :",False
356,"(Oliver Krischer [BÜNDNIS 90/DIE GRÜ-
NEN]:",False
357,"Aber Sie tun hier so, als ob es eine Schande wäre, Eigentum zu haben. Das ist das Verlogene.
(Immer [Altenkirchen] [SPD]:",False
358,(Hans Michelbach [CDU/CSU]:,False
359,Hermsdorf (SPD) :,True
360,Ja. Ich rufe also auch die Frage 47 des Herrn Abgeordneten Hoffie auf:,False
361,"Susset
für die nicht leichte Tätigkeit, die er im Moment für die deutsche Landwirtschaft leistet.
(Suhr [GRÜNE]:",False
362,Berichterstattung:,False
363,(Reinhard Grindel [CDU/CSU]:,False
364,Präsident D. Dr. Gerstenmaier:,True
365,Patrick Kurth (Kyffhäuser) (FDP):,True
366,"Burchardt, auf:",False
367,Dr. Max Stadler (FDP):,True
368,"(Dr. Wolfgang Freiherr von Stetten [CDU/
CSU]:",False
369,Präsident Dr. Norbert Lammert:,True
370,"(Beifall bei der CDU/CSU und der F.D.P. —
Klaus Lennartz [SPD]:",False
371,Die Untersuchung der Sicherheitskriterien muß auf drei Bereiche beschränkt werden:,False
372,Beide Fragen muß ich verneinen. Zur ersten Frage:,False
373,Dr.-Ing. Laermann (FDP):,True
374,Vizepräsidentin Petra Bläss:,True
375,Hoffie (FDP) :,True
376,Dr. Miltner (CDU/CSU) :,True
377,"ausgleicht in einem Bereich, dem sogar mehr Aufgaben
zugeordnet werden als 2005. Denn es ist eine einfache
Rechnung:",False
378,Kleinert (FDP):,True
379,Präsident Dr. Norbert Lammert:,True
380,"Herren! Liebe Kolleginnen und Kollegen! Es ist – auch
nach zwei Stunden und zehn Minuten – immer so:",False
381,"Das ist ein ganz wesentlicher Teil unseres Finanzie-
rungshochlaufs. Wir haben verschiedene Parameter:",False
382,"– Drucksache 15/1526 –
Überweisungsvorschlag:",False
383,"(Beifall bei der SPD — Peter [Kassel]
[SPD]: Das wollen die!)
Man faßt es kaum, aber man liest es dennoch:",False
384,"Dr. Seiermann, Staatssekretär im Bundesministerium für Verkehr:",True
385,Vizepräsident Frau Renger:,True
386,Wenn ich noch einmal kurz auf das ZAG eingehen darf:,False
387,Vizepräsidentin Ulla Schmidt:,True
388,"Der Ministerin will ich zum Thema Zivildienst eines
sagen:",False
389,Ich rufe Punkt 3 der Tagesordnung auf:,False
390,"Frau Dr. Bard
nau diesen Tieren führen, daß die Rehe im Frühjahr nicht genug Ruhe finden,
(Carstensen [Nordstrand] [CDU/CSU]:",False
